IC_L_7: t= 6.70, L= 101.91, L_straight= 95.42, slack=  6.49, T_bat= 65.60, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.80, L= 101.90, L_straight= 95.35, slack=  6.55, T_bat= 65.65, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.90, L= 101.89, L_straight= 95.28, slack=  6.61, T_bat= 65.69, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.00, L= 101.89, L_straight= 95.22, slack=  6.67, T_bat= 65.74, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.10, L= 101.88, L_straight= 95.15, slack=  6.73, T_bat= 65.78, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.20, L= 101.87, L_straight= 95.08, slack=  6.79, T_bat= 65.82, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.30, L= 101.86, L_straight= 95.01, slack=  6.85, T_bat= 65.87, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.40, L= 101.85, L_straight= 94.94, slack=  6.91, T_bat= 65.91, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.50, L= 101.84, L_straight= 94.87, slack=  6.97, T_bat= 65.95, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.60, L= 101.83, L_straight= 94.80, slack=  7.03, T_bat= 66.00, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
