IC_L_7: t= 6.90, L= 98.87, L_straight= 98.31, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.25, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.00, L= 98.85, L_straight= 98.28, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.25, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.10, L= 98.82, L_straight= 98.26, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.26, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.20, L= 98.80, L_straight= 98.23, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.26, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.30, L= 98.78, L_straight= 98.20, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.27, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.40, L= 98.75, L_straight= 98.18, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.27, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.50, L= 98.73, L_straight= 98.15, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.27, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.60, L= 98.70, L_straight= 98.12, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.70, L= 98.67, L_straight= 98.10, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.80, L= 98.65, L_straight= 98.07, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.90, L= 98.62, L_straight= 98.04, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.00, L= 98.60, L_straight= 98.02, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.10, L= 98.57, L_straight= 97.99, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.29, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.20, L= 98.54, L_straight= 97.96, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.29, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.30, L= 98.52, L_straight= 97.93, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.29, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.40, L= 98.49, L_straight= 97.91, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.29, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.50, L= 98.46, L_straight= 97.88, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.29, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.60, L= 98.43, L_straight= 97.85, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.70, L= 98.41, L_straight= 97.83, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.80, L= 98.38, L_straight= 97.80, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.90, L= 98.35, L_straight= 97.77, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.00, L= 98.32, L_straight= 97.75, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.10, L= 98.30, L_straight= 97.72, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.20, L= 98.27, L_straight= 97.69, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.28, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.30, L= 98.24, L_straight= 97.67, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.28, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.40, L= 98.21, L_straight= 97.64, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.50, L= 98.19, L_straight= 97.61, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.60, L= 98.16, L_straight= 97.59, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.70, L= 98.13, L_straight= 97.56, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.80, L= 98.10, L_straight= 97.53, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.90, L= 98.08, L_straight= 97.51, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 10.00, L= 98.05, L_straight= 97.48, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 10.10, L= 98.02, L_straight= 97.45, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 10.20, L= 97.99, L_straight= 97.43, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.27, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
