IC_L_7: t= 4.60, L= 403.00, L_straight= 402.14, slack=  0.86, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.70, L= 403.00, L_straight= 402.17, slack=  0.83, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.80, L= 403.00, L_straight= 402.19, slack=  0.81, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.90, L= 403.00, L_straight= 402.22, slack=  0.78, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.00, L= 403.00, L_straight= 402.24, slack=  0.76, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
[SCEN] t=5.10 scen=Fy crit=(t>5:-2) T_bat=0.008337781180859672 y=-401.15 x=29.99 L=403.00
IC_L_7: t= 5.10, L= 403.00, L_straight= 402.27, slack=  0.73, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.20, L= 403.00, L_straight= 402.30, slack=  0.70, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.21), Fy_cmd= -2.00, desired=  0.29, ret=  0.03, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.30, L= 403.00, L_straight= 402.32, slack=  0.68, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.39), Fy_cmd= -2.00, desired=  0.50, ret=  0.08, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.40, L= 403.01, L_straight= 402.35, slack=  0.66, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.53), Fy_cmd= -2.00, desired=  0.65, ret=  0.13, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.50, L= 403.02, L_straight= 402.38, slack=  0.65, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.64), Fy_cmd= -2.00, desired=  0.76, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.60, L= 403.04, L_straight= 402.40, slack=  0.64, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.73), Fy_cmd= -2.00, desired=  0.83, ret=  0.26, exp=PILOT_DESC_ADD_SLACK_ACC
