[SCEN] t=0.00 scen=Fy crit=(t<5:-5) T_bat=0.008337781180859672 y=-400.00 x=30.00 L=403.00
IC_L_7: t= 9.10, L= 409.63, L_straight= 403.88, slack=  5.76, T_bat= 9.42, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.20, L= 409.70, L_straight= 403.91, slack=  5.79, T_bat= 9.42, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.30, L= 409.76, L_straight= 403.94, slack=  5.83, T_bat= 9.42, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.40, L= 409.83, L_straight= 403.97, slack=  5.86, T_bat= 9.42, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.50, L= 409.90, L_straight= 404.00, slack=  5.89, T_bat= 9.42, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.60, L= 409.96, L_straight= 404.04, slack=  5.93, T_bat= 9.42, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.70, L= 410.03, L_straight= 404.07, slack=  5.96, T_bat= 9.43, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.80, L= 410.10, L_straight= 404.10, slack=  6.00, T_bat= 9.43, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.90, L= 410.16, L_straight= 404.13, slack=  6.03, T_bat= 9.43, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.00, L= 410.23, L_straight= 404.16, slack=  6.06, T_bat= 9.43, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
