IC_L_7: t= 7.50, L= 446.77, L_straight= 402.85, slack= 43.92, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.60, L= 446.67, L_straight= 402.88, slack= 43.80, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.70, L= 446.57, L_straight= 402.90, slack= 43.67, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.80, L= 446.47, L_straight= 402.93, slack= 43.55, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.90, L= 446.37, L_straight= 402.95, slack= 43.42, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.00, L= 446.27, L_straight= 402.98, slack= 43.30, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.10, L= 446.17, L_straight= 403.00, slack= 43.17, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.20, L= 446.07, L_straight= 403.03, slack= 43.04, T_bat= 6.68, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.30, L= 445.97, L_straight= 403.06, slack= 42.92, T_bat= 6.67, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.40, L= 445.87, L_straight= 403.08, slack= 42.79, T_bat= 6.67, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.50, L= 445.77, L_straight= 403.11, slack= 42.67, T_bat= 6.67, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.60, L= 445.67, L_straight= 403.13, slack= 42.54, T_bat= 6.67, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.70, L= 445.57, L_straight= 403.16, slack= 42.42, T_bat= 6.67, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.80, L= 445.47, L_straight= 403.18, slack= 42.29, T_bat= 6.67, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.90, L= 445.37, L_straight= 403.21, slack= 42.17, T_bat= 6.67, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.00, L= 445.27, L_straight= 403.23, slack= 42.04, T_bat= 6.66, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.10, L= 445.17, L_straight= 403.26, slack= 41.92, T_bat= 6.66, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.20, L= 445.07, L_straight= 403.28, slack= 41.79, T_bat= 6.66, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.30, L= 444.97, L_straight= 403.31, slack= 41.67, T_bat= 6.66, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.40, L= 444.87, L_straight= 403.33, slack= 41.54, T_bat= 6.66, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.50, L= 444.77, L_straight= 403.36, slack= 41.42, T_bat= 6.66, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.60, L= 444.67, L_straight= 403.38, slack= 41.29, T_bat= 6.66, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.70, L= 444.57, L_straight= 403.41, slack= 41.17, T_bat= 6.65, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.80, L= 444.47, L_straight= 403.43, slack= 41.04, T_bat= 6.65, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.90, L= 444.37, L_straight= 403.46, slack= 40.92, T_bat= 6.65, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 10.00, L= 444.27, L_straight= 403.48, slack= 40.79, T_bat= 6.65, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
[SCEN] t=10.10 scen=Fy crit=(t>10:-25) T_bat=6.648974328677665 y=-402.39 x=29.97 L=444.17
IC_L_7: t= 10.10, L= 444.17, L_straight= 403.51, slack= 40.67, T_bat= 6.65, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 10.20, L= 444.07, L_straight= 403.53, slack= 40.54, T_bat= 6.65, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.95, exp=PILOT_DESC_ACC
IC_L_7: t= 10.30, L= 443.98, L_straight= 403.57, slack= 40.41, T_bat= 8.90, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.90, exp=PILOT_DESC_ACC
IC_L_7: t= 10.40, L= 443.89, L_straight= 403.61, slack= 40.28, T_bat= 12.10, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.85, exp=PILOT_DESC_ACC
IC_L_7: t= 10.50, L= 443.80, L_straight= 403.65, slack= 40.15, T_bat= 15.33, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.80, exp=PILOT_DESC_ACC
IC_L_7: t= 10.60, L= 443.72, L_straight= 403.70, slack= 40.03, T_bat= 18.07, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.75, exp=PILOT_DESC_ACC
