[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.04491421975737344 y=-10.00 x=2.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.04491421975737344 y=-10.00 x=2.00 L=12.00
IC_L_7: t= 11.60, L= 15.27, L_straight= 14.91, slack=  0.35, T_bat= 0.61, Fy_cmd=-10.00, desired=  0.55, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.70, L= 15.32, L_straight= 14.96, slack=  0.35, T_bat= 0.61, Fy_cmd=-10.00, desired=  0.55, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.80, L= 15.37, L_straight= 15.01, slack=  0.35, T_bat= 0.61, Fy_cmd=-10.00, desired=  0.55, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.90, L= 15.42, L_straight= 15.06, slack=  0.36, T_bat= 0.62, Fy_cmd=-10.00, desired=  0.55, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.00, L= 15.47, L_straight= 15.11, slack=  0.36, T_bat= 0.62, Fy_cmd=-10.00, desired=  0.54, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.10, L= 15.52, L_straight= 15.16, slack=  0.36, T_bat= 0.62, Fy_cmd=-10.00, desired=  0.54, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.20, L= 15.57, L_straight= 15.21, slack=  0.36, T_bat= 0.62, Fy_cmd=-10.00, desired=  0.54, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.30, L= 15.62, L_straight= 15.26, slack=  0.36, T_bat= 0.62, Fy_cmd=-10.00, desired=  0.53, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.40, L= 15.68, L_straight= 15.31, slack=  0.36, T_bat= 0.63, Fy_cmd=-10.00, desired=  0.53, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.50, L= 15.73, L_straight= 15.36, slack=  0.37, T_bat= 0.63, Fy_cmd=-10.00, desired=  0.52, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.60, L= 15.78, L_straight= 15.41, slack=  0.37, T_bat= 0.63, Fy_cmd=-10.00, desired=  0.51, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.70, L= 15.83, L_straight= 15.46, slack=  0.37, T_bat= 0.63, Fy_cmd=-10.00, desired=  0.51, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.80, L= 15.88, L_straight= 15.51, slack=  0.37, T_bat= 0.63, Fy_cmd=-10.00, desired=  0.50, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.90, L= 15.93, L_straight= 15.56, slack=  0.37, T_bat= 0.64, Fy_cmd=-10.00, desired=  0.50, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.00, L= 15.99, L_straight= 15.61, slack=  0.38, T_bat= 0.64, Fy_cmd=-10.00, desired=  0.50, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.10, L= 16.04, L_straight= 15.66, slack=  0.38, T_bat= 0.64, Fy_cmd=-10.00, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.20, L= 16.09, L_straight= 15.71, slack=  0.38, T_bat= 0.64, Fy_cmd=-10.00, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.30, L= 16.14, L_straight= 15.76, slack=  0.38, T_bat= 0.65, Fy_cmd=-10.00, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.40, L= 16.19, L_straight= 15.81, slack=  0.38, T_bat= 0.65, Fy_cmd=-10.00, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.50, L= 16.24, L_straight= 15.86, slack=  0.38, T_bat= 0.65, Fy_cmd=-10.00, desired=  0.49, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
