t: 0.00, HISTORY < 2  -> retourne 0.00
[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.017059615106891583 p=-10.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.017059615106891583 p=-10.00 L=12.00
MAIN: t=8.70, L= 10.44, est_dT_dL=   0.01, y_rov= -9.73, vy_rov=  1.01, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -518.37, ret2=-104.47, ret= -1.00
MAIN: t=8.80, L= 10.34, est_dT_dL=   0.01, y_rov= -9.63, vy_rov=  1.01, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -533.83, ret2=-107.57, ret= -1.00
MAIN: t=8.90, L= 10.24, est_dT_dL=   0.01, y_rov= -9.53, vy_rov=  1.01, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -548.74, ret2=-110.55, ret= -1.00
MAIN: t=9.00, L= 10.14, est_dT_dL=   0.01, y_rov= -9.43, vy_rov=  1.01, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -563.19, ret2=-113.44, ret= -1.00
MAIN: t=9.10, L= 10.04, est_dT_dL=   0.01, y_rov= -9.33, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -577.24, ret2=-116.25, ret= -1.00
MAIN: t=9.20, L=  9.94, est_dT_dL=   0.01, y_rov= -9.23, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -590.98, ret2=-119.00, ret= -1.00
MAIN: t=9.30, L=  9.84, est_dT_dL=   0.01, y_rov= -9.13, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -604.47, ret2=-121.69, ret= -1.00
MAIN: t=9.40, L=  9.74, est_dT_dL=   0.01, y_rov= -9.03, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -617.77, ret2=-124.35, ret= -1.00
MAIN: t=9.50, L=  9.64, est_dT_dL=   0.01, y_rov= -8.93, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -630.95, ret2=-126.99, ret= -1.00
MAIN: t=9.60, L=  9.54, est_dT_dL=   0.01, y_rov= -8.83, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -645.79, ret2=-129.96, ret= -1.00
