[SCEN] t=0.00 scen=Fy crit=(:-10) T_bat=0.5 y=-500.00 x=0.00 L=10.00
IC_L_7: t= 6.10, L= 11.63, L_straight= 10.48, slack=  1.15, T_bat= 0.56, T_rov= 0.50, F_drag_cable=( 0.00,  0.32), Fy_cmd=-29.00, desired=  0.57, ret=  0.38, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.20, L= 11.67, L_straight= 10.52, slack=  1.15, T_bat= 0.56, T_rov= 0.50, F_drag_cable=( 0.00,  0.34), Fy_cmd=-29.00, desired=  0.58, ret=  0.40, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.30, L= 11.71, L_straight= 10.56, slack=  1.15, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.34), Fy_cmd=-29.00, desired=  0.60, ret=  0.42, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.40, L= 11.75, L_straight= 10.59, slack=  1.15, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.35), Fy_cmd=-29.00, desired=  0.60, ret=  0.44, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.50, L= 11.79, L_straight= 10.63, slack=  1.16, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.36), Fy_cmd=-29.00, desired=  0.61, ret=  0.45, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.60, L= 11.84, L_straight= 10.67, slack=  1.17, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.36), Fy_cmd=-29.00, desired=  0.62, ret=  0.47, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.70, L= 11.88, L_straight= 10.71, slack=  1.17, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.37), Fy_cmd=-29.00, desired=  0.62, ret=  0.48, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.80, L= 11.93, L_straight= 10.75, slack=  1.18, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.37), Fy_cmd=-29.00, desired=  0.62, ret=  0.50, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.90, L= 11.98, L_straight= 10.79, slack=  1.20, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.37), Fy_cmd=-29.00, desired=  0.63, ret=  0.51, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.00, L= 12.03, L_straight= 10.83, slack=  1.21, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.37), Fy_cmd=-29.00, desired=  0.63, ret=  0.52, exp=PILOT_DESC_MINPAY_ACC
