[SCEN] t=0.00 scen=Fx crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 4.50, L= 9.31, L_straight=  9.00, slack=  0.31, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.13, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.60, L= 9.28, L_straight=  8.97, slack=  0.31, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.13, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.70, L= 9.26, L_straight=  8.95, slack=  0.31, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.14, ret= -0.21, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.80, L= 9.24, L_straight=  8.93, slack=  0.32, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.15, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.90, L= 9.22, L_straight=  8.90, slack=  0.32, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.16, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.00, L= 9.20, L_straight=  8.88, slack=  0.32, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.18, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
[SCEN] t=5.10 scen=Fx crit=(t>5:-10) T_bat=0.4176193871137332 y=-8.79 x=-1.03 L=9.18
IC_L_7: t= 5.10, L= 9.18, L_straight=  8.86, slack=  0.33, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.19, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.20, L= 9.16, L_straight=  8.83, slack=  0.33, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.13), Fy_cmd=  0.00, desired= -0.20, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.30, L= 9.14, L_straight=  8.81, slack=  0.33, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.14, -0.13), Fy_cmd=  0.00, desired= -0.21, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
