[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=7.10, T=20.78, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.32, desired=-24.38, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=7.20, T=20.78, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.29, desired=-27.26, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=7.30, T=20.85, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.19, desired=-41.95, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=7.40, T=26.63, Trupt=50.00, Tcible=5.00, est_dT_dL=  -5.64, desired=  1.92, ret= -0.95, exp=REG_T_ACC
AUTO_L_6: t=7.50, T=28.88, Trupt=50.00, Tcible=5.00, est_dT_dL=  -7.96, desired=  1.50, ret= -0.90, exp=REG_T_ACC
AUTO_L_6: t=7.60, T=28.35, Trupt=50.00, Tcible=5.00, est_dT_dL=  -7.53, desired=  1.55, ret= -0.85, exp=REG_T_ACC
AUTO_L_6: t=7.70, T=27.75, Trupt=50.00, Tcible=5.00, est_dT_dL=  -7.06, desired=  1.61, ret= -0.80, exp=REG_T_ACC
AUTO_L_6: t=7.80, T=27.35, Trupt=50.00, Tcible=5.00, est_dT_dL=  -6.83, desired=  1.64, ret= -0.75, exp=REG_T_ACC
AUTO_L_6: t=7.90, T=27.10, Trupt=50.00, Tcible=5.00, est_dT_dL=  -6.77, desired=  1.63, ret= -0.70, exp=REG_T_ACC
AUTO_L_6: t=8.00, T=26.94, Trupt=50.00, Tcible=5.00, est_dT_dL=  -6.86, desired=  1.60, ret= -0.65, exp=REG_T_ACC
AUTO_L_6: t=8.10, T=26.84, Trupt=50.00, Tcible=5.00, est_dT_dL=  -7.05, desired=  1.55, ret= -0.60, exp=REG_T_ACC
AUTO_L_6: t=8.20, T=26.78, Trupt=50.00, Tcible=5.00, est_dT_dL=  -7.31, desired=  1.49, ret= -0.55, exp=REG_T_ACC
AUTO_L_6: t=8.30, T=26.73, Trupt=50.00, Tcible=5.00, est_dT_dL=  -7.60, desired=  1.43, ret= -0.50, exp=REG_T_ACC
AUTO_L_6: t=8.40, T=26.70, Trupt=50.00, Tcible=5.00, est_dT_dL=  -0.09, desired= 120.29, ret= -0.45, exp=REG_T_ACC
