[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_7: t= 7.60, L= 111.30, L_straight= 106.90, slack=  4.40, T_bat= 10.07, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.70, L= 111.32, L_straight= 106.97, slack=  4.35, T_bat= 10.07, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.80, L= 111.34, L_straight= 107.04, slack=  4.30, T_bat= 10.08, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.90, L= 111.36, L_straight= 107.11, slack=  4.25, T_bat= 10.08, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.00, L= 111.38, L_straight= 107.18, slack=  4.20, T_bat= 10.08, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.10, L= 111.40, L_straight= 107.24, slack=  4.16, T_bat= 10.08, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.20, L= 111.42, L_straight= 107.31, slack=  4.11, T_bat= 10.08, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.30, L= 111.44, L_straight= 107.38, slack=  4.06, T_bat= 10.09, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.40, L= 111.46, L_straight= 107.45, slack=  4.01, T_bat= 10.09, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.50, L= 111.48, L_straight= 107.52, slack=  3.96, T_bat= 10.09, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.60, L= 111.50, L_straight= 107.58, slack=  3.92, T_bat= 10.09, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.70, L= 111.52, L_straight= 107.65, slack=  3.87, T_bat= 10.09, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.80, L= 111.54, L_straight= 107.72, slack=  3.82, T_bat= 10.10, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 8.90, L= 111.56, L_straight= 107.79, slack=  3.77, T_bat= 10.10, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.00, L= 111.58, L_straight= 107.86, slack=  3.72, T_bat= 10.10, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.10, L= 111.60, L_straight= 107.93, slack=  3.67, T_bat= 10.10, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.20, L= 111.62, L_straight= 107.99, slack=  3.63, T_bat= 10.10, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.30, L= 111.64, L_straight= 108.06, slack=  3.58, T_bat= 10.10, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.40, L= 111.66, L_straight= 108.13, slack=  3.53, T_bat= 10.11, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.50, L= 111.68, L_straight= 108.20, slack=  3.48, T_bat= 10.11, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.60, L= 111.70, L_straight= 108.27, slack=  3.43, T_bat= 10.11, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.70, L= 111.72, L_straight= 108.34, slack=  3.38, T_bat= 10.11, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.80, L= 111.74, L_straight= 108.40, slack=  3.34, T_bat= 10.11, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 9.90, L= 111.76, L_straight= 108.47, slack=  3.29, T_bat= 10.12, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.00, L= 111.78, L_straight= 108.54, slack=  3.24, T_bat= 10.12, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.10, L= 111.80, L_straight= 108.61, slack=  3.19, T_bat= 10.12, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.20, L= 111.82, L_straight= 108.68, slack=  3.14, T_bat= 10.12, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.30, L= 111.84, L_straight= 108.75, slack=  3.09, T_bat= 10.12, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.40, L= 111.86, L_straight= 108.81, slack=  3.05, T_bat= 10.13, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.50, L= 111.88, L_straight= 108.88, slack=  3.00, T_bat= 10.13, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.60, L= 111.90, L_straight= 108.95, slack=  2.95, T_bat= 10.13, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.70, L= 111.92, L_straight= 109.02, slack=  2.90, T_bat= 10.13, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.80, L= 111.94, L_straight= 109.09, slack=  2.85, T_bat= 10.13, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 10.90, L= 111.96, L_straight= 109.15, slack=  2.81, T_bat= 10.14, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.00, L= 111.98, L_straight= 109.22, slack=  2.76, T_bat= 10.14, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.10, L= 112.00, L_straight= 109.29, slack=  2.71, T_bat= 10.14, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.20, L= 112.02, L_straight= 109.36, slack=  2.66, T_bat= 10.14, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.30, L= 112.04, L_straight= 109.43, slack=  2.61, T_bat= 10.14, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.40, L= 112.06, L_straight= 109.50, slack=  2.56, T_bat= 10.15, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.50, L= 112.08, L_straight= 109.56, slack=  2.52, T_bat= 10.15, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.60, L= 112.10, L_straight= 109.63, slack=  2.47, T_bat= 10.15, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.70, L= 112.12, L_straight= 109.70, slack=  2.42, T_bat= 10.15, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
