[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_6: t= 5.20, y_rov=-103.29, vy_rov=-0.67, gy_rov= 0.00, L= 111.57, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.10, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.30, y_rov=-103.35, vy_rov=-0.67, gy_rov= 0.00, L= 111.61, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.10, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.40, y_rov=-103.42, vy_rov=-0.67, gy_rov= 0.00, L= 111.65, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.10, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.50, y_rov=-103.49, vy_rov=-0.67, gy_rov= 0.00, L= 111.69, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.11, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.60, y_rov=-103.55, vy_rov=-0.67, gy_rov= 0.00, L= 111.73, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.11, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.70, y_rov=-103.62, vy_rov=-0.67, gy_rov= 0.00, L= 111.77, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.11, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.80, y_rov=-103.69, vy_rov=-0.67, gy_rov= 0.00, L= 111.81, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.12, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.90, y_rov=-103.76, vy_rov=-0.67, gy_rov= 0.00, L= 111.85, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.12, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.00, y_rov=-103.82, vy_rov=-0.67, gy_rov= 0.00, L= 111.89, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.12, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.10, y_rov=-103.89, vy_rov=-0.67, gy_rov= 0.00, L= 111.93, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.13, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.20, y_rov=-103.96, vy_rov=-0.67, gy_rov= 0.00, L= 111.97, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.13, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.30, y_rov=-104.03, vy_rov=-0.67, gy_rov= 0.00, L= 112.01, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.14, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.40, y_rov=-104.09, vy_rov=-0.67, gy_rov= 0.00, L= 112.05, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.14, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
