IC_L_7: t= 11.90, L= 12.29, L_straight= 12.08, slack=  0.21, T_bat= 0.19, Fy= 0.00, desired=  0.90, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.00, L= 12.37, L_straight= 12.12, slack=  0.24, T_bat= 1.08, Fy= 0.03, desired=  0.81, ret=  0.78, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.10, L= 12.44, L_straight= 12.16, slack=  0.28, T_bat= 0.20, Fy= 0.00, desired=  0.73, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.20, L= 12.52, L_straight= 12.21, slack=  0.31, T_bat= 1.09, Fy= 0.02, desired=  0.65, ret=  0.76, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.30, L= 12.60, L_straight= 12.25, slack=  0.34, T_bat= 0.20, Fy= 0.00, desired=  0.57, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.40, L= 12.67, L_straight= 12.30, slack=  0.37, T_bat= 1.10, Fy= 0.02, desired=  0.50, ret=  0.72, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.50, L= 12.74, L_straight= 12.34, slack=  0.40, T_bat= 0.21, Fy= 0.00, desired=  0.43, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.60, L= 12.81, L_straight= 12.38, slack=  0.43, T_bat= 1.10, Fy= 0.02, desired=  0.37, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.70, L= 12.88, L_straight= 12.43, slack=  0.45, T_bat= 0.22, Fy= 0.00, desired=  0.32, ret=  0.62, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.80, L= 12.94, L_straight= 12.47, slack=  0.47, T_bat= 1.11, Fy= 0.01, desired=  0.28, ret=  0.59, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.90, L= 13.00, L_straight= 12.52, slack=  0.48, T_bat= 0.22, Fy= 0.00, desired=  0.24, ret=  0.56, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.00, L= 13.05, L_straight= 12.56, slack=  0.49, T_bat= 1.11, Fy= 0.01, desired=  0.22, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.10, L= 13.11, L_straight= 12.61, slack=  0.50, T_bat= 0.23, Fy= 0.00, desired=  0.20, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.20, L= 13.15, L_straight= 12.65, slack=  0.50, T_bat= 1.12, Fy= 0.01, desired=  0.20, ret=  0.46, exp=PILOT_DESC_ACC
IC_L_7: t= 13.30, L= 13.20, L_straight= 12.70, slack=  0.51, T_bat= 0.23, Fy= 0.00, desired=  0.20, ret=  0.43, exp=PILOT_DESC_ACC
IC_L_7: t= 13.40, L= 13.24, L_straight= 12.74, slack=  0.50, T_bat= 1.12, Fy= 0.01, desired=  0.20, ret=  0.41, exp=PILOT_DESC_ACC
IC_L_7: t= 13.50, L= 13.29, L_straight= 12.79, slack=  0.50, T_bat= 0.24, Fy= 0.00, desired=  0.20, ret=  0.39, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.60, L= 13.32, L_straight= 12.83, slack=  0.49, T_bat= 1.13, Fy= 0.01, desired=  0.21, ret=  0.37, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.70, L= 13.36, L_straight= 12.88, slack=  0.49, T_bat= 0.24, Fy= 0.00, desired=  0.23, ret=  0.36, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.80, L= 13.40, L_straight= 12.92, slack=  0.48, T_bat= 1.13, Fy= 0.01, desired=  0.26, ret=  0.35, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.90, L= 13.43, L_straight= 12.97, slack=  0.47, T_bat= 0.25, Fy= 0.00, desired=  0.28, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.00, L= 13.47, L_straight= 13.01, slack=  0.45, T_bat= 1.13, Fy= 0.01, desired=  0.31, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.10, L= 13.50, L_straight= 13.06, slack=  0.44, T_bat= 0.25, Fy= 0.00, desired=  0.34, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.20, L= 13.53, L_straight= 13.10, slack=  0.43, T_bat= 1.14, Fy= 0.01, desired=  0.37, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.30, L= 13.57, L_straight= 13.15, slack=  0.42, T_bat= 0.25, Fy= 0.00, desired=  0.39, ret=  0.35, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.40, L= 13.60, L_straight= 13.19, slack=  0.41, T_bat= 1.14, Fy= 0.01, desired=  0.42, ret=  0.35, exp=PILOT_DESC_ADD_SLACK_ACC
