[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 6.20, y_rov=-103.96, vy_rov=-0.67, gy_rov= 0.00, L= 107.86, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.05, Fy_tr= 0.02, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.30, y_rov=-104.03, vy_rov=-0.67, gy_rov= 0.00, L= 107.76, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.01, Fy_tr= 0.02, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.40, y_rov=-104.09, vy_rov=-0.67, gy_rov= 0.00, L= 107.66, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.98, Fy_tr= 0.02, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.01, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.50, y_rov=-104.16, vy_rov=-0.67, gy_rov= 0.00, L= 107.56, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.94, Fy_tr= 0.02, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.01, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.60, y_rov=-104.23, vy_rov=-0.67, gy_rov= 0.00, L= 107.46, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.90, Fy_tr= 0.03, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.01, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.70, y_rov=-104.29, vy_rov=-0.67, gy_rov= 0.00, L= 107.36, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.87, Fy_tr= 0.03, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.01, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.80, y_rov=-104.36, vy_rov=-0.67, gy_rov= 0.00, L= 107.26, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.83, Fy_tr= 0.04, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.01, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.90, y_rov=-104.43, vy_rov=-0.67, gy_rov= 0.00, L= 107.16, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.80, Fy_tr= 0.05, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.01, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 7.00, y_rov=-104.50, vy_rov=-0.67, gy_rov= 0.00, L= 107.06, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.77, Fy_tr= 0.06, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.02, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 7.10, y_rov=-104.56, vy_rov=-0.67, gy_rov= 0.00, L= 106.96, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.75, Fy_tr= 0.08, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.03, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 7.20, y_rov=-104.63, vy_rov=-0.67, gy_rov= 0.00, L= 106.86, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.73, Fy_tr= 0.11, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.04, ret=-1.00, exp=REG_T_ACC
